Player ID,Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,erO,erD,erT,Wins Added,W/40 gm,W/40 min
nichoti01w,1997,Tina Nicholson,CLE,G,24,273,24,273,7.8,0.519,0.511,0.545,0.114,1,2.4,26.9,2.2,0.3,37.7,12.7,84,97,0,0.1,0.1,0.01,-0.556178198,-1.988248824,-2.544427022,0.299161425,0.427373465,0.043833176
johnsad01w,1997,Adrienne Johnson,CLE,G,25,194,25,194,4.7,0.428,0.397,0.069,0.155,5.6,7.3,8.8,1.4,0.4,30.4,21.4,68,97,-0.6,0.1,-0.5,-0.1,-5.51938403,-3.460534208,-8.979918238,-0.460412746,-0.657732494,-0.094930463
bouceje01w,1997,Jenny Boucek,CLE,G,10,112,10,112,1,0.498,0.467,0.2,0.467,3.7,5.8,13.9,2.9,0,54.9,16.7,54,94,-0.5,0.1,-0.4,-0.158,-5.802865151,-2.287368357,-8.090233508,-0.212091216,-0.302987451,-0.075746863
maxwean01w,1997,Anita Maxwell,CLE,F,9,63,9,63,10.6,0.333,0.32,0,0.32,4.3,12.3,24.8,3.5,0,17.4,25.6,72,89,-0.2,0.1,-0.1,-0.036,-5.044327481,0.686826718,-4.357500762,0.007464296,0.01066328,0.004739235
alberma01w,1997,Marcie Alberts,CLE,G,5,30,5,30,-1,0,0,1,0,0,2.1,15.7,3.6,0,60,7.8,27,94,-0.1,0,-0.1,-0.138,-4.744387529,-0.304486264,-5.048873793,-0.007626239,-0.010894628,-0.010168319
coopecy01w,1997,Cynthia Cooper,HOU,G,28,982,28,982,32.2,0.629,0.553,0.399,0.49,4.3,7.5,31.4,3.4,0.5,18.1,28.7,119,92,8.1,1.3,9.4,0.385,7.648429377,0.456769786,8.105199163,6.743223115,9.633175878,0.274673039
thompti01w,1997,Tina Thompson,HOU,F,28,885,28,885,18.6,0.524,0.476,0.314,0.252,9.8,13.7,7.7,1.3,2.7,14.9,22,105,92,3.2,1.1,4.3,0.195,1.233371037,-0.757082049,0.476288988,2.421553548,3.459362211,0.109448748
arcaija01w,1997,Janeth Arcain,HOU,G,28,784,28,784,18.2,0.531,0.458,0.132,0.34,6.8,9.3,12,3.1,0.4,18.9,21.2,102,92,2.3,1,3.3,0.169,1.896248708,0.081004318,1.977253026,2.78233969,3.974770986,0.141956107
perroki01w,1997,Kim Perrot,HOU,G,28,692,28,692,14.1,0.452,0.451,0.611,0.228,3.4,7.2,23.8,5.6,0.2,26.7,16.5,87,87,0.2,1.5,1.7,0.098,1.025787785,3.241829254,4.267617039,3.313988282,4.734268974,0.191560016
guytowa01w,1997,Wanda Guyton,HOU,C,25,668,25,668,11.4,0.5,0.467,0,0.557,14.7,13.4,3.4,2.2,1,22.1,13.7,96,93,0.9,0.7,1.7,0.099,1.29777782,-0.733761801,0.564016019,1.85952345,2.656462071,0.11134871
jacksta01w,1997,Tammy Jackson,HOU,F-C,28,545,28,545,10.2,0.449,0.409,0.009,0.373,10,14,4.1,4.6,1.6,27.7,15.2,80,85,-0.4,1.3,0.9,0.069,-1.657226108,2.751988512,1.094762404,1.673741744,2.391059634,0.122843431
wooslti01w,1997,Tiffany Woosley,HOU,G,26,397,26,397,7.3,0.415,0.42,0.568,0.091,2.6,4.7,13.4,2.5,0.2,24.7,14.3,80,95,-0.2,0.3,0.1,0.007,-1.767205316,-1.36363979,-3.130845106,0.310917383,0.44416769,0.031326688
harrifr01w,1997,Fran Harris,HOU,G-F,25,369,25,369,11.9,0.431,0.383,0.224,0.29,5.6,10,13,2.6,0.7,19.4,19,88,92,0.2,0.5,0.7,0.072,-1.663413674,-0.577112282,-2.240525956,0.466867212,0.66695316,0.050608912
swoopsh01w,1997,Sheryl Swoopes,HOU,F-G,9,129,9,129,26.6,0.541,0.509,0.302,0.264,6,7.7,12.7,3,2.6,6.3,22.9,118,92,0.7,0.2,0.9,0.283,4.38912778,1.070435549,5.459563329,0.701033652,1.001476645,0.217374776
pollica01w,1997,Catarina Pollini,HOU,F,13,94,13,94,4.6,0.403,0.364,0,0.545,4.1,8.4,10,2.4,0.9,22.7,17.6,77,92,-0.1,0.1,0,0.005,-4.524586756,-1.300796964,-5.82538372,-0.063522132,-0.090745903,-0.027030695
mooreyo01w,1997,Yolanda Moore,HOU,F-C,13,93,13,93,0.7,0.316,0.25,0,0.6,8.4,9.2,1.9,0.6,0,21.7,16.3,65,98,-0.2,0,-0.2,-0.091,-5.774204645,-4.389827352,-10.164032,-0.28131485,-0.401878358,-0.120995635
gaypi01w,1997,Pietra Gay,HOU,G-F,5,12,5,12,2.8,0.476,0.5,0,2.5,0,16.5,31.1,4.7,0,48.8,32,58,80,-0.1,0,-0.1,-0.192,-11.38193339,-0.182599065,-11.56453246,-0.045398156,-0.064854509,-0.151327188
tolerpe01w,1997,Penny Toler,LAS,G,28,907,28,907,16.2,0.489,0.436,0.112,0.257,3.6,6.3,29.5,2.1,0.3,22.1,23.6,92,95,1.4,0.7,2.1,0.093,1.060411112,-1.392885497,-0.332474385,2.05726808,2.9389544,0.090728471
leslili01w,1997,Lisa Leslie,LAS,C,28,902,28,902,21.6,0.49,0.447,0.124,0.509,9,17.8,15.9,2.2,5.1,19.4,27.7,91,85,1.4,2.2,3.5,0.157,-0.624178234,2.510958689,1.886780455,3.115568104,4.450811578,0.138162665
dixonta01w,1997,Tamecka Dixon,LAS,G,27,715,27,715,19.2,0.55,0.5,0.206,0.349,4,6.9,14.4,3.6,0.5,16.6,21.6,103,91,2.3,1,3.3,0.183,2.58979681,1.269656186,3.859452996,3.223334888,4.604764126,0.180326427
widemja01w,1997,Jamila Wideman,LAS,G,28,633,28,633,7.3,0.347,0.269,0.34,0.321,3.3,5.4,24.9,2,0.1,29.7,12,79,96,-0.4,0.4,0,-0.001,-0.761840959,-1.439814531,-2.20165549,0.803541714,1.147916735,0.050776728
colleka01w,1997,Katrina Colleton,LAS,F,28,613,28,613,11.5,0.489,0.472,0.198,0.238,5.3,5.9,12.2,3,1.1,20.1,12.6,94,93,0.6,0.6,1.2,0.081,0.78254477,0.355565333,1.138110103,1.872111789,2.674445413,0.122160639
zhengha01w,1997,Haixia Zheng,LAS,C,28,557,28,557,20.2,0.635,0.618,0,0.331,7.4,13.4,6.2,1,2.8,18.4,19.9,107,92,2,0.8,2.7,0.195,1.989238464,-0.400429985,1.588808479,1.835229134,2.621755905,0.131793834
burgeli01w,1997,Linda Burgess,LAS,F,28,492,28,492,17,0.584,0.544,0.015,0.363,12.1,14.4,3.4,2.1,2.1,23.1,18.3,98,91,1,0.7,1.7,0.139,0.691257933,-0.193217002,0.498040931,1.334302106,1.906145866,0.108479846
mabikmw01w,1997,Mwadi Mabika,LAS,G,21,325,21,325,14.2,0.43,0.415,0.279,0.176,8.7,10,12.8,3.7,1.4,15.6,23.7,86,90,0.1,0.5,0.6,0.078,-1.145841261,1.367361595,0.221520334,0.833377306,1.190539008,0.102569515
burgehe01w,1997,Heidi Burge,LAS,F-C,22,282,22,282,12.7,0.474,0.444,0.056,0.625,10.5,14.8,9.2,2.2,3.3,21.4,18.4,88,89,0.1,0.5,0.7,0.094,-1.858192884,0.719422863,-1.138770021,0.518138098,0.740197283,0.073494766
charlda01w,1997,Daedra Charles,LAS,F-C,28,282,28,282,9.6,0.435,0.403,0.015,0.224,7.3,10.3,7.1,1.8,2.8,16,13.8,89,92,0.1,0.4,0.5,0.071,-1.894632382,-0.06001077,-1.954643153,0.395197279,0.564567542,0.056056352
ganttr01w,1997,Travesa Gant,LAS,C,2,13,2,13,-13.4,0,0,0,0,0,14,0,0,0,66.7,10.2,0,92,-0.1,0,-0.1,-0.247,-12.82322246,-3.509891164,-16.33311363,-0.081662116,-0.116660166,-0.251268049
gessiki01w,1997,Kim Gessig,LAS,F,1,4,1,4,-19.6,,,,,0,15.1,0,0,0,100,11.1,0,90,0,0,0,-0.305,-15.77389812,-4.865259218,-20.63915734,-0.034330512,-0.049043589,-0.34330512
lobore01w,1997,Rebecca Lobo,NYL,C,28,939,28,939,14.3,0.435,0.401,0.178,0.297,8.1,13.3,11.7,1.5,4.5,18,23.4,85,87,0,2,1.9,0.083,-2.545507075,1.187467116,-1.358039959,1.629501737,2.327859624,0.069414344
weathte01w,1997,Teresa Weatherspoon,NYL,G,28,924,28,924,16.3,0.541,0.478,0.255,0.73,3.3,7.7,33.8,5,0.2,34.2,13.4,94,84,1.1,2.4,3.5,0.149,2.677657589,3.718740567,6.396398156,5.465862859,7.808375513,0.23661744
witheso01w,1997,Sophia Witherspoon,NYL,G,28,867,28,867,18.3,0.517,0.47,0.365,0.322,4.3,5.9,16,3,0.7,16.4,24.5,98,90,2.3,1.4,3.6,0.168,1.345047761,0.811367925,2.156415686,3.14707775,4.495825358,0.145193899
johnsvi01w,1997,Vickie Johnson,NYL,G-F,26,789,26,789,12.5,0.436,0.411,0.078,0.13,7.2,8.5,17.3,1.3,0.4,14.7,19.1,92,93,0.9,0.9,1.7,0.088,-0.343772435,-1.262296905,-1.60606934,1.263707258,1.805296083,0.064066274
hamptky01w,1997,Kym Hampton,NYL,C,28,663,28,663,20.9,0.523,0.474,0.005,0.54,9.6,15.1,12.1,3.2,2.4,15.8,21.1,101,83,1.9,1.8,3.7,0.221,1.460706754,2.995763081,4.456469835,3.228614909,4.612307013,0.19478823
fordki01w,1997,Kisha Ford,NYL,G-F,28,473,28,473,8.6,0.435,0.39,0.175,0.386,7.3,6.2,9.9,3.2,0.9,22.2,16.3,82,91,-0.2,0.7,0.5,0.046,-1.804137611,0.395302032,-1.408835579,0.807873084,1.154104406,0.068319077
tricetr01w,1997,Trena Trice,NYL,F-C,28,340,28,340,12.9,0.599,0.565,0.087,0.489,11.6,12.3,1.2,1.4,2.2,26.4,20.1,92,90,0.4,0.5,0.9,0.11,-1.291419344,-1.411336662,-2.702756007,0.343563604,0.490805148,0.040419247
wickssu01w,1997,Sue Wicks,NYL,F,28,332,28,332,12.3,0.411,0.364,0.065,0.308,13.3,17.4,17.2,2.8,4.5,27.5,22.7,76,83,-0.6,0.9,0.4,0.046,-4.529986953,1.567579153,-2.9624078,0.289010747,0.412872495,0.034820572
bladerh01w,1997,Rhonda Blades,NYL,G,28,290,28,290,6.1,0.508,0.479,0.771,0.286,2.5,4.4,19.3,2.6,0.3,33.1,18.3,79,91,-0.3,0.4,0.1,0.017,-3.229626648,-1.212935566,-4.442562214,0.021062117,0.030088739,0.00290512
